Auction_key,Auction_class,Bid_class,Claim_price,Appraisal_company,Appraisal_date,Auction_count,Auction_miscarriage_count,Total_land_gross_area,Total_land_real_area,Total_land_auction_area,Total_building_area,Total_building_auction_area,Total_appraisal_price,Minimum_sales_price,First_auction_date,Final_auction_date,Final_result,Creditor,addr_do,addr_si,addr_dong,addr_li,addr_san,addr_bunji1,addr_bunji2,addr_etc,Apartment_usage,Preserve_regist_date,Total_floor,Current_floor,Specific,Share_auction_YorN,road_name,road_bunji1,road_bunji2,Close_date,Close_result,point.y,point.x,Hammer_price
2687,임의,개별,17.66037301,정명감정,2017-07-26 00:00:00,2,1,12592.0,37.35,37.35,181.77,181.77,8.36,6.688,2018-02-13 00:00:00,2018-03-20 00:00:00,낙찰,베리타스자산관리대부,부산,해운대구,우동,,N,1398.0,,해운대엑소디움 5층 101-502호,Apartment & Stores,2009-07-14 00:00:00,45,5,,N,해운대해변로,30.0,,2018-06-14 00:00:00,배당,35.1627175,129.1370479,7.6
2577,임의,일반,1.52946867,희감정,2016-09-12 00:00:00,2,1,42478.1,18.76,18.76,118.38,118.38,10.73,8.584,2016-12-29 00:00:00,2017-02-02 00:00:00,낙찰,흥국저축은행,부산,해운대구,우동,,N,1407.0,,해운대두산위브더제니스 103동 51층 5103호,Apartment,2011-12-16 00:00:00,70,51,,N,마린시티2로,33.0,,2017-03-30 00:00:00,배당,35.1566334,129.14506809999997,9.71889999
2197,임의,개별,0.11326510000000001,혜림감정,2016-11-22 00:00:00,3,2,149683.1,71.0,71.0,49.94,49.94,1.19,0.7616,2017-07-28 00:00:00,2017-10-13 00:00:00,낙찰,국민은행,부산,사상구,모라동,,N,552.0,,백양그린 206동 14층 1403호,Apartment,1992-07-31 00:00:00,15,14,,N,모라로110번길,88.0,,2017-12-13 00:00:00,배당,35.1846011,128.9967645,0.93399999
2642,임의,일반,1.83581724,신라감정,2016-12-13 00:00:00,2,1,24405.0,32.98,32.98,84.91,84.91,2.884,2.3072,2017-07-20 00:00:00,2017-11-02 00:00:00,낙찰,고려저축은행,부산,남구,대연동,,N,243.0,23.0,대연청구 109동 11층 1102호,Apartment,2001-07-13 00:00:00,20,11,,N,황령대로319번가길,110.0,,2017-12-27 00:00:00,배당,35.154179600000006,129.0890814,2.5689900000000003
1958,강제,일반,0.45887671,나라감정,2016-03-07 00:00:00,2,1,774.0,45.18,45.18,84.96,84.96,1.7,1.36,2016-07-06 00:00:00,2016-08-03 00:00:00,낙찰,Private,부산,사하구,괴정동,,N,399.0,2.0,동조리젠시 7층 703호,Apartment,2001-11-27 00:00:00,7,7,,N,오작로,51.0,,2016-10-04 00:00:00,배당,35.099629799999995,128.99887379999998,1.5866
2238,강제,일반,1.05437195,한마음감정,2017-01-03 00:00:00,2,1,8635.0,41.39,41.39,84.46,84.46,2.22,1.776,2017-07-07 00:00:00,2017-08-11 00:00:00,낙찰,서울보증보험,부산,영도구,청학동,,N,69.0,93.0,한일유앤아이 101동 17층 1701호,Apartment,2005-09-29 00:00:00,20,17,,N,일산봉로,58.0,,2017-10-25 00:00:00,배당,35.086933,129.0657062,2.06989
1923,임의,일반,1.3754872999999999,미래새한감정,2016-01-19 00:00:00,3,2,7927.0,81.77,81.77,112.7,112.7,1.88,1.2032,2016-06-28 00:00:00,2016-08-23 00:00:00,낙찰,천마(새),부산,영도구,동삼동,,N,220.0,1.0,도시 1동 6층 603호,Apartment,1989-12-11 00:00:00,6,6,,N,동삼서로,61.0,,2016-11-03 00:00:00,배당,35.0840494,129.0702311,1.355
2527,임의,일반,5.06916971,부일감정,2016-04-28 00:00:00,2,1,331281.0,92.22,92.22,243.35,243.35,6.67,5.336,2016-08-22 00:00:00,2016-09-19 00:00:00,낙찰,대형선망수협,부산,남구,용호동,,N,176.0,30.0,",-60,-8 엘지메트로시티 130동 13층 1302호",Apartment,2001-08-16 00:00:00,24,13,,N,분포로,111.0,,2016-11-22 00:00:00,배당,35.127807700000005,129.1122058,6.40299999
2259,강제,일반,0.40782876,금정감정,2016-03-08 00:00:00,2,1,1017.0,66.44,66.44,67.21,67.21,0.94,0.752,2016-06-24 00:00:00,2016-07-22 00:00:00,낙찰,디에이치대부,부산,서구,암남동,,N,81.0,1.0,한성 B동 1층 102호,Apartment,1981-12-28 00:00:00,3,1,,N,천마로27번길,10.0,,2016-09-27 00:00:00,배당,35.0808174,129.0201555,0.7738
2666,임의,일반,1.5,연산감정,2017-03-27 00:00:00,2,1,27447.2,78.52,78.52,84.92,84.92,1.63,1.304,2017-09-26 00:00:00,2017-10-31 00:00:00,낙찰,코카콜라음료,부산,해운대구,재송동,,N,1123.0,20.0,",-22,산55-18 코오롱 110동 4층 406호",Apartment,1990-08-10 00:00:00,5,4,,N,재반로84번길,96.0,7.0,2017-12-27 00:00:00,배당,35.187903399999996,129.1309127,1.7707
